Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	negative regulation of viral process (GO:0048525)	1/70	0.1609810482853106	0.272563579948775	0	0	5.880212954747116	10.740024519792764	IFITM2
GO_Biological_Process_2021	COPII-coated vesicle budding (GO:0090114)	1/70	0.1609810482853106	0.272563579948775	0	0	5.880212954747116	10.740024519792764	SCFD1
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	1/71	0.16308595979881	0.2731689826630069	0	0	5.795918367346939	10.51076961698872	CRK
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	1/71	0.16308595979881	0.2731689826630069	0	0	5.795918367346939	10.51076961698872	NDUFS5
GO_Biological_Process_2021	phosphatidylinositol-mediated signaling (GO:0048015)	1/71	0.16308595979881	0.2731689826630069	0	0	5.795918367346939	10.51076961698872	ZFP36L1
GO_Biological_Process_2021	Fc-gamma receptor signaling pathway (GO:0038094)	1/72	0.1651856959101235	0.2747237283044254	0	0	5.713998275366484	10.28911103101624	CRK
GO_Biological_Process_2021	cell morphogenesis involved in differentiation (GO:0000904)	1/72	0.1651856959101235	0.2747237283044254	0	0	5.713998275366484	10.28911103101624	ITGA4
GO_Biological_Process_2021	regulation of actin filament-based process (GO:0032970)	1/73	0.1672802691231711	0.2752787586623412	0	0	5.634353741496598	10.074701240888364	CRK
GO_Biological_Process_2021	positive regulation of JNK cascade (GO:0046330)	1/73	0.1672802691231711	0.2752787586623412	0	0	5.634353741496598	10.074701240888364	GADD45B
GO_Biological_Process_2021	regulation of hydrolase activity (GO:0051336)	1/73	0.1672802691231711	0.2752787586623412	0	0	5.634353741496598	10.074701240888364	CRK
GO_Biological_Process_2021	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	1/74	0.1693696918266344	0.2777426065268936	0	0	5.556891249650545	9.867213018330611	CRK
GO_Biological_Process_2021	actomyosin structure organization (GO:0031032)	1/76	0.1735331353639065	0.280644967191973	0	0	5.408163265306122	9.4717853003048	ACTC1
GO_Biological_Process_2021	regulation of BMP signaling pathway (GO:0030510)	1/76	0.1735331353639065	0.280644967191973	0	0	5.408163265306122	9.4717853003048	LEMD3
GO_Biological_Process_2021	RNA transport (GO:0050658)	1/76	0.1735331353639065	0.280644967191973	0	0	5.408163265306122	9.4717853003048	ZFP36L1
GO_Biological_Process_2021	cellular response to hormone stimulus (GO:0032870)	1/76	0.1735331353639065	0.280644967191973	0	0	5.408163265306122	9.4717853003048	ZFP36L1
GO_Biological_Process_2021	positive regulation of endothelial cell proliferation (GO:0001938)	1/77	0.1756071809118701	0.2820539994783119	0	0	5.336734693877551	9.283280446293812	ITGA4
GO_Biological_Process_2021	cellular response to UV (GO:0034644)	1/77	0.1756071809118701	0.2820539994783119	0	0	5.336734693877551	9.283280446293812	OPN1SW
GO_Biological_Process_2021	positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	1/79	0.1797399811935544	0.2867280652373368	0	0	5.199372056514914	8.923391206941128	CSNK1E
GO_Biological_Process_2021	positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	1/79	0.1797399811935544	0.2867280652373368	0	0	5.199372056514914	8.923391206941128	CSNK1E
GO_Biological_Process_2021	negative regulation of cellular response to growth factor stimulus (GO:0090288)	1/80	0.181798760490535	0.2870828911449862	0	0	5.133298889175924	8.751529842637671	LEMD3
GO_Biological_Process_2021	response to interferon-gamma (GO:0034341)	1/80	0.181798760490535	0.2870828911449862	0	0	5.133298889175924	8.751529842637671	IFITM2
GO_Biological_Process_2021	regulation of fat cell differentiation (GO:0045598)	1/80	0.181798760490535	0.2870828911449862	0	0	5.133298889175924	8.751529842637671	ZFP36L1
GO_Biological_Process_2021	cilium assembly (GO:0060271)	2/314	0.1851004260524556	0.2913157712033614	0	0	2.6225961538461537	4.423944044737091	CSNK1E;HAUS2
GO_Biological_Process_2021	ephrin receptor signaling pathway (GO:0048013)	1/82	0.1859011384602527	0.2915974379192592	0	0	5.00604686318972	8.422875391899517	CRK
GO_Biological_Process_2021	regulation of osteoblast differentiation (GO:0045667)	1/83	0.1879447615357932	0.2930993236561293	0	0	4.944748631159781	8.265677319811374	FBN2
GO_Biological_Process_2021	response to insulin (GO:0032868)	1/84	0.1899833569114356	0.2930993236561293	0	0	4.884927464961889	8.112979399077096	ZFP36L1
GO_Biological_Process_2021	spindle assembly (GO:0051225)	1/84	0.1899833569114356	0.2930993236561293	0	0	4.884927464961889	8.112979399077096	HAUS2
GO_Biological_Process_2021	lymphocyte differentiation (GO:0030098)	1/84	0.1899833569114356	0.2930993236561293	0	0	4.884927464961889	8.112979399077096	ITGA4
GO_Biological_Process_2021	nuclear export (GO:0051168)	1/84	0.1899833569114356	0.2930993236561293	0	0	4.884927464961889	8.112979399077096	STRADA
GO_Biological_Process_2021	B cell activation (GO:0042113)	1/85	0.1920169366451308	0.2933418348096624	0	0	4.826530612244898	7.964604221414354	ITGA4
GO_Biological_Process_2021	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	1/85	0.1920169366451308	0.2933418348096624	0	0	4.826530612244898	7.964604221414354	SCFD1
GO_Biological_Process_2021	positive regulation of protein catabolic process (GO:0045732)	1/85	0.1920169366451308	0.2933418348096624	0	0	4.826530612244898	7.964604221414354	TIPARP
GO_Biological_Process_2021	positive regulation of proteasomal protein catabolic process (GO:1901800)	1/86	0.1940455128548384	0.2954783945744131	0	0	4.769507803121249	7.820383303288144	CSNK1E
GO_Biological_Process_2021	negative regulation of binding (GO:0051100)	1/88	0.1980877029036425	0.2992780032991705	0	0	4.659394792399718	7.5437717166037235	CSNK1E
GO_Biological_Process_2021	metal ion transport (GO:0030001)	1/88	0.1980877029036425	0.2992780032991705	0	0	4.659394792399718	7.5437717166037235	MMGT1
GO_Biological_Process_2021	second-messenger-mediated signaling (GO:0019932)	1/89	0.2001013407742902	0.2992780032991705	0	0	4.606215213358071	7.411084001248333	CXCR4
GO_Biological_Process_2021	collagen fibril organization (GO:0030199)	1/89	0.2001013407742902	0.2992780032991705	0	0	4.606215213358071	7.411084001248333	P4HA1
GO_Biological_Process_2021	post-Golgi vesicle-mediated transport (GO:0006892)	1/89	0.2001013407742902	0.2992780032991705	0	0	4.606215213358071	7.411084001248333	SCFD1
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	1/90	0.2021100231923967	0.2992780032991705	0	0	4.55423068103646	7.281955543769811	RPS4Y1
GO_Biological_Process_2021	mitochondrial respiratory chain complex assembly (GO:0033108)	1/90	0.2021100231923967	0.2992780032991705	0	0	4.55423068103646	7.281955543769811	NDUFS5
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	3/621	0.2024454460334983	0.2992780032991705	0	0	1.9966948977483991	3.1892904723776496	IFITM2;RHOU;CRK
